CATEGORY,TOTAL_UNITS_SOLD,PRODUCT_NAME,SALES_RANK
electronics,12244,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,1
electronics,10933,SanDisk SSD PLUS 1TB Internal SSD - SATA III 6 Gb/s,2
electronics,10881,Samsung 49-Inch CHG90 144Hz Curved Gaming Monitor (LC49HG90DMNXZA) – Super Ultrawide Screen QLED ,3
jewelery,11949,Pierced Owl Rose Gold Plated Stainless Steel Double,1
jewelery,11354,White Gold Plated Princess,2
jewelery,11325,Solid Gold Petite Micropave ,3
men's clothing,11465,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",1
men's clothing,11290,Mens Casual Slim Fit,2
men's clothing,11277,Mens Cotton Jacket,3
women's clothing,11610,Rain Jacket Women Windbreaker Striped Climbing Raincoats,1
women's clothing,11385,Lock and Love Women's Removable Hooded Faux Leather Moto Biker Jacket,2
women's clothing,11181,BIYLACLESEN Women's 3-in-1 Snowboard Jacket Winter Coats,3
